name,replace
徐中雄,　　徐中雄　　
陳健民,　　陳健民　　
紀國棟,　　紀國棟　　
黃德福,　　黃德福　　
曾永權,　　曾永權　　
呂學樟,　　呂學樟　　
劉文雄,　　劉文雄　　
周慧瑛,　　周慧瑛　　
李俊毅,　　李俊毅　　
柯建銘,　　柯建銘　　
湯金全,　　湯金全　　
蔡煌瑯,　　蔡煌瑯　　
林南生,　　林南生　　
楊瓊瓔,　　楊瓊瓔　　
楊麗環,　　楊麗環　　
何智輝,　　何智輝　　
朱星羽,　　朱星羽　　
顏清標,　　顏清標　　
林正二,　　林正二　　
劉憶如,　　劉憶如　　
周錫瑋,　　周錫瑋　　
龐建國,　　龐建國　　
洪奇昌,　　洪奇昌　　
顏錦福,　　顏錦福　　
郭正亮,　　郭正亮　　
沈富雄,　　沈富雄　　
吳敦義,　　吳敦義　　
陳根德,　　陳根德　　
李顯榮,　　李顯榮　　
江丙坤,　　江丙坤　　
陳健治,　　陳健治　　
羅世雄,　　羅世雄　　
陳學聖,　　陳學聖　　
吳成典,　　吳成典　　
曹原彰,　　曹原彰　　
陳志彬,　　陳志彬　　
邱毅,　　邱毅　　
殷乃平,　　殷乃平　　
趙永清,　　趙永清　　
林豐喜,　　林豐喜　　
蔡同榮,　　蔡同榮　　
鍾金江,　　鍾金江　　
邱垂貞,　　邱垂貞　　
許榮淑,　　許榮淑　　
林濁水,　　林濁水　　
王拓,　　王拓　　
黃昭順,　　黃昭順　　
蔡鈴蘭,　　蔡鈴蘭　　
張蔡美,　　張蔡美　　
章仁香,　　章仁香　　
盧秀燕,　　盧秀燕　　
廖風德,　　廖風德　　
王鍾渝,　　王鍾渝　　
劉政鴻,　　劉政鴻　　
鄭三元,　　鄭三元　　
林惠官,　　林惠官　　
李慶安,　　李慶安　　
傅崐萁,　　傅崐萁　　
湯火聖,　　湯火聖　　
周清玉,　　周清玉　　
尤清,　　尤清　　
王幸男,　　王幸男　　
林國華,　　林國華　　
梁牧養,　　梁牧養　　
王雪峰,　　王雪峰　　
曹啟鴻,　　曹啟鴻　　
鄭朝明,　　鄭朝明　　
孫國華,　　孫國華　　
洪昭男,　　洪昭男　　
陳杰,　　陳杰　　
劉銓忠,　　劉銓忠　　
蔡家福,　　蔡家福　　
洪秀柱,　　洪秀柱　　
廖婉汝,　　廖婉汝　　
黃敏惠,　　黃敏惠　　
陳麗惠,　　陳麗惠　　
江綺雯,　　江綺雯　　
黃義交,　　黃義交　　
馮定國,　　馮定國　　
