term,period,meetingno,temp_meeting_no,billn,billcontent,billresult,url,date
5,5,1,1,1,主席：報告表決結果：在場委員人數六十一人，贊成依照朝野黨團協商結論通過者五十六人，反對者一人，棄權者四人。,Passed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第5會期第1次臨時會第1次會議紀錄.html,093/08/21
5,5,1,1,2,主席：報告表決結果：在場委員人數五十六人，贊成依照朝野黨團協商結論通過者五十五人，反對者零人，棄權者一人。本案不足法定表決人數，所以表決不成。,Passed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第5會期第1次臨時會第1次會議紀錄.html,093/08/21
5,5,1,1,3,主席：報告表決結果：在場委員八十五人，贊成者八十四人，反對者零人，棄權者一人，多數，通過。,Passed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第5會期第1次臨時會第1次會議紀錄.html,093/08/21
5,5,3,1,1,主席：報告表決結果：在場委員二百人，贊成者二百人，反對者零人，多數，通過。,Passed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第5會期第1次臨時會第3次會議紀錄.html,093/08/23
5,5,3,1,2,主席：報告表決結果：在場委員二百零一人，贊成者二百零一人，反對者零人，多數，通過。,Passed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第5會期第1次臨時會第3次會議紀錄.html,093/08/23
5,5,3,1,3,主席：報告表決結果：在場委員二百零一人，贊成者二百人，反對者一人。多數，通過。,Passed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第5會期第1次臨時會第3次會議紀錄.html,093/08/23
5,5,3,1,4,主席：報告表決結果：在場委員二百零一人，贊成者二百人，反對者零人，棄權者一人，多數，通過。,Passed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第5會期第1次臨時會第3次會議紀錄.html,093/08/23
5,5,3,1,5,主席：報告表決結果：出席委員二百零一人，贊成者一百九十八人，反對者二人，棄權者一人，多數，通過。,Passed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第5會期第1次臨時會第3次會議紀錄.html,093/08/23
5,5,3,1,6,主席：報告表決結果：出席委員人數二百人，贊成者九十二人，反對者一百零六人，棄權者二人，因贊成者不足出席委員四分之三人數，所以，本案不予通過。,NotPassed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第5會期第1次臨時會第3次會議紀錄.html,093/08/23
5,5,3,1,7,主席：報告表決結果：出席委員人數一百九十七人，贊成者九十人，反對者一百零四人，棄權者三人，贊成台聯黨團所提修正動議仍屬少數，所以，本案不通過。,NotPassed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第5會期第1次臨時會第3次會議紀錄.html,093/08/23
