legislator_name,term,period,meetingno,temp_meeting_no,billn,correct_legislator_name
劉銓忠費鴻泰,6,3,8,0,5,劉銓忠　　費鴻泰
劉銓忠費鴻泰,6,3,8,0,6,劉銓忠　　費鴻泰
羅志明　鄭國忠,6,3,13,0,5,羅志明　　鄭國忠
林炳坤　高金素梅蔡　豪,6,2,19,0,8,林炳坤　　高金素梅　　蔡　豪
林炳坤　高金素梅蔡　豪,6,2,19,0,9,林炳坤　　高金素梅　　蔡　豪
高金素梅蔡　豪,6,2,19,0,8,高金素梅　　蔡　豪
高金素梅蔡　豪,6,2,19,0,9,高金素梅　　蔡　豪
林炳坤　高金素梅,6,2,19,0,1,林炳坤　　高金素梅
林炳坤　高金素梅,6,2,19,0,2,林炳坤　　高金素梅
林炳坤　高金素梅,6,2,19,0,4,林炳坤　　高金素梅
林炳坤　高金素梅,6,2,19,0,6,林炳坤　　高金素梅
林炳坤　高金素梅,6,2,19,0,12,林炳坤　　高金素梅
林炳坤　高金素梅,6,2,19,0,23,林炳坤　　高金素梅
蔡　豪高金素梅,6,2,16,0,1,蔡　豪　　高金素梅
楊宗哲　鍾紹和　鄭金玲,6,6,16,0,5,楊宗哲　　鍾紹和　　鄭金玲
余政道 　葉宜津,6,6,9,0,1,余政道　　葉宜津
吳育昇　廖國棟,6,5,14,0,7,吳育昇　　廖國棟
吳志揚 　侯彩鳳,6,5,13,0,1,吳志揚　　侯彩鳳
葉宜津　柯建銘,7,1,19,0,28,葉宜津　　柯建銘
田秋堇　蘇震清,7,1,19,0,28,田秋堇　　蘇震清
陳　瑩　潘孟安,7,1,19,0,28,陳　瑩　　潘孟安
張花冠　郭玟成,7,1,19,0,28,張花冠　　郭玟成
曾永權　林德福,7,1,19,0,28,曾永權　　林德福
楊仁福　黃健庭,7,1,19,0,28,楊仁福　　黃健庭
李乙廷　林滄敏,7,1,19,0,28,李乙廷　　林滄敏
羅明才　陳　杰,7,1,19,0,28,羅明才　　陳　杰
鄭金玲　孔文吉,7,1,19,0,28,鄭金玲　　孔文吉
孫大千　林明溱,7,1,19,0,28,孫大千　　林明溱
羅淑蕾　邱鏡淳,7,1,19,0,28,羅淑蕾　　邱鏡淳
蔣孝嚴　黃義交,7,1,19,0,28,蔣孝嚴　　黃義交
朱鳳芝　李鴻鈞,7,1,19,0,28,朱鳳芝　　李鴻鈞
吳志揚　江玲君,7,1,19,0,28,吳志揚　　江玲君
江義雄　黃昭順,7,1,19,0,28,江義雄　　黃昭順
徐少萍　李復興,7,1,19,0,28,徐少萍　　李復興
劉盛良　廖正井,7,1,19,0,28,劉盛良　　廖正井
陳淑慧　吳敦義,7,1,19,0,28,陳淑慧　　吳敦義
李俊毅　黃淑英,7,1,19,0,29,李俊毅　　黃淑英
管碧玲　賴清德,7,1,19,0,29,管碧玲　　賴清德
陳啟昱　余政道,7,1,19,0,29,陳啟昱　　余政道
黃偉哲　陳節如,7,1,19,0,29,黃偉哲　　陳節如
余　天　林淑芬,7,1,19,0,29,余　天　　林淑芬
曾永權　林德福,7,1,19,0,29,曾永權　　林德福
楊仁福　黃健庭,7,1,19,0,29,楊仁福　　黃健庭
李乙廷　林滄敏,7,1,19,0,29,李乙廷　　林滄敏
羅明才　陳　杰,7,1,19,0,29,羅明才　　陳　杰
鄭金玲　孔文吉,7,1,19,0,29,鄭金玲　　孔文吉
孫大千　林明溱,7,1,19,0,29,孫大千　　林明溱
羅淑蕾　邱鏡淳,7,1,19,0,29,羅淑蕾　　邱鏡淳
蔣孝嚴　黃義交,7,1,19,0,29,蔣孝嚴　　黃義交
朱鳳芝　李鴻鈞,7,1,19,0,29,朱鳳芝　　李鴻鈞
吳志揚　江玲君,7,1,19,0,29,吳志揚　　江玲君
江義雄　黃昭順,7,1,19,0,29,江義雄　　黃昭順
徐少萍　李復興,7,1,19,0,29,徐少萍　　李復興
劉盛良　廖正井,7,1,19,0,29,劉盛良　　廖正井
陳淑慧　吳敦義,7,1,19,0,29,陳淑慧　　吳敦義
陳福海　高金素梅,7,1,19,0,30,陳福海　　高金素梅
周守訓　楊仁福,7,1,19,0,30,周守訓　　楊仁福
