termmeetingtime,kind,date,HTML4,HTML5,HTML6,HTML7,HTML8,HTML9,HTML10,HTML11,HTML12,HTML13,term,period,temp_meeting_no,meetingno,testformalmeetingname
第06屆 第01會期 第01次會議,常會,"094/02/25, 094/03/01",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/01/01/LCEWC03_060101.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/01/01/LCEWC03_060101.htm,,,,,,,,,6,1,,1,立法院第6屆第1會期第1次
第06屆 第02會期 第12次會議,常會,"094/11/25, 094/11/29",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/02/12/LCEWC03_060212.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/02/12/LCEWC03_060212.htm,,,,,,,,,6,2,,12,立法院第6屆第2會期第12次
第06屆 第02會期 第11次會議,常會,"094/11/18, 094/11/22",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/02/11/LCEWC03_060211.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/02/11/LCEWC03_060211.htm,,,,,,,,,6,2,,11,立法院第6屆第2會期第11次
第06屆 第02會期 第10次會議,常會,"094/11/11, 094/11/15",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/02/10/LCEWC03_060210.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/02/10/LCEWC03_060210.htm,,,,,,,,,6,2,,10,立法院第6屆第2會期第10次
第06屆 第02會期 第09次會議,常會,"094/11/04, 094/11/08",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/02/09/LCEWC03_060209.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/02/09/LCEWC03_060209.htm,,,,,,,,,6,2,,9,立法院第6屆第2會期第9次
第06屆 第02會期 第08次會議,常會,"094/10/28, 094/11/01",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/02/08/LCEWC03_060208.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/02/08/LCEWC03_060208.htm,,,,,,,,,6,2,,8,立法院第6屆第2會期第8次
第06屆 第02會期 第07次會議,常會,"094/10/21, 094/10/25",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/02/07/LCEWC03_060207.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/02/07/LCEWC03_060207.htm,,,,,,,,,6,2,,7,立法院第6屆第2會期第7次
第06屆 第02會期 第06次會議,常會,"094/10/14, 094/10/18",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/02/06/LCEWC03_060206.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/02/06/LCEWC03_060206.htm,,,,,,,,,6,2,,6,立法院第6屆第2會期第6次
第06屆 第02會期 第05次會議,常會,"094/10/07, 094/10/11",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/02/05/LCEWC03_060205.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/02/05/LCEWC03_060205.htm,,,,,,,,,6,2,,5,立法院第6屆第2會期第5次
第06屆 第02會期 第04次會議,常會,"094/09/30, 094/10/04",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/02/04/LCEWC03_060204.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/02/04/LCEWC03_060204.htm,,,,,,,,,6,2,,4,立法院第6屆第2會期第4次
第06屆 第02會期 第03次會議,常會,"094/09/23, 094/09/27",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/02/03/LCEWC03_060203.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/02/03/LCEWC03_060203.htm,,,,,,,,,6,2,,3,立法院第6屆第2會期第3次
第06屆 第02會期 第02次會議,常會,"094/09/16, 094/09/20",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/02/02/LCEWC03_060202.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/02/02/LCEWC03_060202.htm,,,,,,,,,6,2,,2,立法院第6屆第2會期第2次
第06屆 第02會期 第01次會議,常會,094/09/13,http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/02/01/LCEWC03_060201.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/02/01/LCEWC03_060201.htm,,,,,,,,,6,2,,1,立法院第6屆第2會期第1次
第06屆 第01會期 第14次會議,常會,"094/05/27, 094/05/31",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/01/14/LCEWC03_060114.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/01/14/LCEWC03_060114.htm,,,,,,,,,6,1,,14,立法院第6屆第1會期第14次
第06屆 第01會期 第13次會議,常會,"094/05/20, 094/05/24",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/01/13/LCEWC03_060113.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/01/13/LCEWC03_060113.htm,,,,,,,,,6,1,,13,立法院第6屆第1會期第13次
第06屆 第01會期 第12次會議,常會,"094/05/13, 094/05/17",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/01/12/LCEWC03_060112.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/01/12/LCEWC03_060112.htm,,,,,,,,,6,1,,12,立法院第6屆第1會期第12次
第06屆 第01會期 第11次會議,常會,"094/05/06, 094/05/10",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/01/11/LCEWC03_060111.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/01/11/LCEWC03_060111.htm,,,,,,,,,6,1,,11,立法院第6屆第1會期第11次
第06屆 第01會期 第10次會議,常會,"094/04/29, 094/05/03",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/01/10/LCEWC03_060110.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/01/10/LCEWC03_060110.htm,,,,,,,,,6,1,,10,立法院第6屆第1會期第10次
第06屆 第01會期 第09次會議,常會,"094/04/22, 094/04/26",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/01/09/LCEWC03_060109.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/01/09/LCEWC03_060109.htm,,,,,,,,,6,1,,9,立法院第6屆第1會期第9次
第06屆 第01會期 第08次會議,常會,"094/04/15, 094/04/19",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/01/08/LCEWC03_060108.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/01/08/LCEWC03_060108.htm,,,,,,,,,6,1,,8,立法院第6屆第1會期第8次
第06屆 第01會期 第07次會議,常會,"094/04/08, 094/04/12",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/01/07/LCEWC03_060107.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/01/07/LCEWC03_060107.htm,,,,,,,,,6,1,,7,立法院第6屆第1會期第7次
第06屆 第01會期 第06次會議,常會,094/04/01,http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/01/06/LCEWC03_060106.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/01/06/LCEWC03_060106.htm,,,,,,,,,6,1,,6,立法院第6屆第1會期第6次
第06屆 第01會期 第05次會議,常會,"094/03/25, 094/03/29",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/01/05/LCEWC03_060105.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/01/05/LCEWC03_060105.htm,,,,,,,,,6,1,,5,立法院第6屆第1會期第5次
第06屆 第01會期 第04次會議,常會,"094/03/18, 094/03/22",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/01/04/LCEWC03_060104.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/01/04/LCEWC03_060104.htm,,,,,,,,,6,1,,4,立法院第6屆第1會期第4次
第06屆 第01會期 第03次會議,常會,"094/03/11, 094/03/15",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/01/03/LCEWC03_060103.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/01/03/LCEWC03_060103.htm,,,,,,,,,6,1,,3,立法院第6屆第1會期第3次
第06屆 第01會期 第02次會議,常會,"094/03/04, 094/03/08",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/01/02/LCEWC03_060102.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/01/02/LCEWC03_060102.htm,,,,,,,,,6,1,,2,立法院第6屆第1會期第2次
第06屆 第04會期 第03次會議,常會,"095/10/13, 095/10/17",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/04/03/LCEWC03_060403.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/04/03/LCEWC03_060403.htm,,,,,,,,,6,4,,3,立法院第6屆第4會期第3次
第06屆 第04會期 第02次會議,常會,"095/09/29, 095/10/03, 095/10/04",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/04/02/LCEWC03_060402.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/04/02/LCEWC03_060402.htm,,,,,,,,,6,4,,2,立法院第6屆第4會期第2次
第06屆 第04會期 第01次會議,常會,"095/09/19, 095/09/22, 095/09/26",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/04/01/LCEWC03_060401.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/04/01/LCEWC03_060401.htm,,,,,,,,,6,4,,1,立法院第6屆第4會期第1次
第06屆 第03會期 第15次會議,常會,"095/05/26, 095/05/30",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/03/15/LCEWC03_060315.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/03/15/LCEWC03_060315.htm,,,,,,,,,6,3,,15,立法院第6屆第3會期第15次
第06屆 第03會期 第14次會議,常會,"095/05/19, 095/05/23",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/03/14/LCEWC03_060314.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/03/14/LCEWC03_060314.htm,,,,,,,,,6,3,,14,立法院第6屆第3會期第14次
第06屆 第03會期 第13次會議,常會,"095/05/12, 095/05/16",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/03/13/LCEWC03_060313.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/03/13/LCEWC03_060313.htm,,,,,,,,,6,3,,13,立法院第6屆第3會期第13次
第06屆 第03會期 第12次會議,常會,"095/05/05, 095/05/09",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/03/12/LCEWC03_060312.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/03/12/LCEWC03_060312.htm,,,,,,,,,6,3,,12,立法院第6屆第3會期第12次
第06屆 第03會期 第11次會議,常會,"095/04/28, 095/05/02",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/03/11/LCEWC03_060311.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/03/11/LCEWC03_060311.htm,,,,,,,,,6,3,,11,立法院第6屆第3會期第11次
第06屆 第03會期 第10次會議,常會,"095/04/21, 095/04/25",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/03/10/LCEWC03_060310.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/03/10/LCEWC03_060310.htm,,,,,,,,,6,3,,10,立法院第6屆第3會期第10次
第06屆 第03會期 第09次會議,常會,"095/04/14, 095/04/18",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/03/09/LCEWC03_060309.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/03/09/LCEWC03_060309.htm,,,,,,,,,6,3,,9,立法院第6屆第3會期第9次
第06屆 第03會期 第08次會議,常會,"095/04/07, 095/04/11",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/03/08/LCEWC03_060308.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/03/08/LCEWC03_060308.htm,,,,,,,,,6,3,,8,立法院第6屆第3會期第8次
第06屆 第03會期 第07次會議,常會,"095/03/31, 095/04/04",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/03/07/LCEWC03_060307.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/03/07/LCEWC03_060307.htm,,,,,,,,,6,3,,7,立法院第6屆第3會期第7次
