term,period,meetingno,temp_meeting_no,billn,billcontent,billresult,url,date
6,2,9,0,1,二、本院中國國民黨黨團、親民黨黨團，鑑於本院調查權之行使，乃本院行使憲法職權所必要之輔助性權力，司法院釋字第五八五號就相關事項所作憲法解釋，本院職權行使法規允有必要儘速配合修正，以健全法制，俾能順利為調查權之行使，主動獲取行使職權所需相關資訊，充分思辯，審慎決定，以善盡民意機關之權責，爰提出「立法院職權行使法部分條文修正草案」，請逕付二讀，請公決案。〔本案經變更議程，由法制委員會抽出，逕付二讀，並列為本次會議第二案【在場委員201人，贊成者115人，反對者85人，多數通過；並採記名表決方式，表決結果名單附後(一)】。 ,Passed,http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/02/09/LCEWC03_060209.htm,"094/11/04, 094/11/08"
6,2,9,0,2,三、本院民進黨黨團，針對本院第6屆第2會期第1次會議議事日程所列報告事項第十一案委員廖國棟等31人擬具「原住民敬老福利生活津貼暫行條例第三條條文修正草案」、第十三案委員孫大千等36人擬具「所得稅法第十一條條文修正草案」、第十四案委員吳敦義等51人擬具「日據時代日本政府國庫券及債券處理條例草案」、第十五案委員張顯耀等38人擬具「臺灣地區與大陸地區人民關係條例第九條條文修正草案」、第十七案委員陳朝容等42人擬具「漁業法增訂第五十四條之一條文草案」、第二十一案委員黃昭順等44人擬具「地方民意代表費用支給及村里長事務補助費補助條例第七條條文修正草案」、第二十四案委員楊麗環等49人擬具「勞工保險條例第十二條及第三十條條文修正草案」、第二十六案委員黃昭順等44人擬具「勞工保險條例部分條文修正草案」、第三十二案委員楊麗環等45人擬具「優生保健法部分條文修正草案」、第三十八案國民黨黨團擬具「立法委員選區規劃委員會組織法草案」、第三十九案國民黨黨團擬具「中央選舉委員會組織法草案」、第四十二案委員黃昭順等50人擬具「公務人員退休法第十六條之一條文修正草案」及第四十三案委員黃昭順等44人擬具「八二三戰役參戰官兵晚年生活照顧特別條例草案」等13案之決定，提出復議，請公決案。〔本案原列討論事項第七案，經變更議程改列為第三案【在場委員204人，贊成者106人，反對者96人，多數通過；並採記名表決方式，表決結果名單附後(二)】。 ,Passed,http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/02/09/LCEWC03_060209.htm,"094/11/04, 094/11/08"
6,2,9,0,3,三、本院民進黨黨團，針對本院第6屆第2會期第1次會議議事日程所列報告事項第十一案委員廖國棟等31人擬具「原住民敬老福利生活津貼暫行條例第三條條文修正草案」、第十三案委員孫大千等36人擬具「所得稅法第十一條條文修正草案」、第十四案委員吳敦義等51人擬具「日據時代日本政府國庫券及債券處理條例草案」、第十五案委員張顯耀等38人擬具「臺灣地區與大陸地區人民關係條例第九條條文修正草案」、第十七案委員陳朝容等42人擬具「漁業法增訂第五十四條之一條文草案」、第二十一案委員黃昭順等44人擬具「地方民意代表費用支給及村里長事務補助費補助條例第七條條文修正草案」、第二十四案委員楊麗環等49人擬具「勞工保險條例第十二條及第三十條條文修正草案」、第二十六案委員黃昭順等44人擬具「勞工保險條例部分條文修正草案」、第三十二案委員楊麗環等45人擬具「優生保健法部分條文修正草案」、第三十八案國民黨黨團擬具「立法委員選區規劃委員會組織法草案」、第三十九案國民黨黨團擬具「中央選舉委員會組織法草案」、第四十二案委員黃昭順等50人擬具「公務人員退休法第十六條之一條文修正草案」及第四十三案委員黃昭順等44人擬具「八二三戰役參戰官兵晚年生活照顧特別條例草案」等13案之決定，提出復議，請公決案。〔本案原列討論事項第七案，經變更議程改列為第三案【在場委員204人，贊成者106人，反對者96人，多數通過；並採記名表決方式，表決結果名單附後(二)】。 決議：復議案不通過，除第三十九案因重複提出不予處理外，其餘各案均照原決定處理。【在場委員204人，贊成復議案通過者98人，反對者106人，少數不通過；並採記名表決方式，表決結果名單附後(三) ,NotPassed,http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/02/09/LCEWC03_060209.htm,"094/11/04, 094/11/08"
6,2,9,0,4,四、本院台聯黨團，針對本院第6屆第1會期第4次會議議事日程所列報告事項第四案委員呂學樟等43人擬具「卸任總統副總統禮遇條例修正草案」及第十五案委員孫大千等33人擬具「臺灣地區與大陸地區人民關係條例刪除第九十五條之三條文草案」等二案之決定，提出復議，請公決案。〔本案原列討論事項第八案，經變更議程改列為第四案【在場委員204人，贊成者106人，反對者96人，多數通過；並採記名表決方式，表決結果名單附後(二)】。 決議：復議案不通過，均照原決定處理。〔在場委員203人，贊成復議案通過者97人，反對者106人，少數不通過；並採記名表決方式，表決結果名單附後(四)〕 ,NotPassed,http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/02/09/LCEWC03_060209.htm,"094/11/04, 094/11/08"
6,2,9,0,5,五、本院民進黨黨團，針對本院第6屆第2會期第3次會議議事日程所列報告事項第二十八案親民黨黨團、國民黨黨團擬具「國營事業管理法第三條條文修正草案」及第二十九案親民黨黨團、國民黨黨團擬具「臺灣地區與大陸地區人民關係條例部分條文修正草案」等二案之決定，提出復議，請公決案。〔本案原列討論事項第九案，經變更議程改列為第五案【在場委員204人，贊成者106人，反對者96人，多數通過；並採記名表決方式，表決結果名單附後(二)】。 決議：復議案不通過，均照原決定處理。〔在場委員205人，贊成復議案通過者99人，反對者106人，少數不通過；並採記名表決方式，表決結果名單附後(五)〕 ,NotPassed,http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/02/09/LCEWC03_060209.htm,"094/11/04, 094/11/08"
6,2,9,0,6,六、本院民進黨黨團，針對本院第6屆第1會期第12次會議議事日程所列報告事項第五案委員朱鳳芝等43人擬具「陸海空軍軍官士官任官條例第八條條文修正草案」、第六案委員吳成典等38人擬具「離島建設條例部分條文修正草案」、第十案委員林春德等41人擬具「敬老福利生活津貼暫行條例第三條條文修正草案」、第十一案委員李全教等44人擬具「敬老福利生活津貼暫行條例第三條及第十條條文修正草案」、第十二案委員盧秀燕等45人擬具「敬老福利生活津貼暫行條例第三條及第七條條文修正草案」、第十三案委員吳敦義等57人擬具「敬老福利生活津貼暫行條例第三條條文修正草案」、第十四案委員林炳坤等37人擬具「敬老福利生活津貼暫行條例部分條文修正草案」、第二十一案無黨團結聯盟黨團擬具「農民健康保險條例修正草案」、第二十二案委員劉政鴻等50人擬具「農民健康保險條例部分條文修正草案」、第二十八案無黨團結聯盟黨團擬具「公路法部分條文修正草案」、第三十案委員江昭儀等38人擬具「八二三戰役義務役官兵晚年生活照顧特別條例草案」、第三十一案委員黃昭順等45人擬具「八二三戰役參戰官兵晚年生活照顧特別條例草案」、第三十二案委員盧秀燕等47人擬具「八二三戰役參戰官兵晚年生活照顧特別條例草案」、第三十三案委員朱鳳芝等39人擬具「八二三戰役參戰官兵晚年生活照顧特別條例草案」、第三十四案委員林炳坤等44人擬具「八二三戰役參戰官兵晚年生活照顧特別條例草案」、第三十八案委員徐耀昌等35人擬具「交通部郵電事業人員退休撫卹條例第二十條及第三十五條條文修正草案」、第三十九案委員盧秀燕等37人擬具「交通部郵電事業人員退休撫卹條例部分條文修正草案」、第四十七案委員林春德等33人擬具「原住民敬老福利生活津貼暫行條例第三條條文修正草案」、第四十八案委員李全教等41人擬具「原住民敬老福利生活津貼暫行條例第三條及第十條條文修正草案」、第四十九案委員林炳坤等36人擬具「原住民敬老福利生活津貼暫行條例第三條及第十三條條文修正草案」、第五十一案委員朱鳳芝等38人擬具「國軍老舊眷村改建條例第三條條文修正草案」、第五十二案委員朱鳳芝等38人擬具「國軍老舊眷村改建條例第二十八條條文修正草案」、第五十六案台灣團結聯盟黨團擬具「所得稅法第十七條條文修正草案」、第五十七案委員曾燦燈等46人擬具「所得稅法第十七條條文修正草案」、第五十八案委員羅志明等41人擬具「所得稅法第十七條條文修正草案」、第五十九案委員盧秀燕等58人擬具「所得稅法第十七條條文修正草案」、第六十案委員李慶安等40人擬具「所得稅法第十一條條文修正草案」、第六十一案委員李慶安等49人擬具「所得稅法第十七條條文修正草案」、第六十五案委員羅志明等46人擬具「學校教職員撫卹條例第二條條文修正草案」、第六十六案委員羅志明等44人擬具「學校教職員退休條例第二條條文修正草案」、第六十七案委員李全教等49人擬具「老年農民福利津貼暫行條例第四條條文修正草案」、第六十八案委員鍾紹和等33人擬具「老年農民福利津貼暫行條例增訂第四條之二條文草案」、第六十九案委員林炳坤等39人擬具「老年農民福利津貼暫行條例第四條及第六條條文修正草案」、第七十案委員曾永權等38人擬具「陸軍軍士教導總隊士官退伍補償條例草案」、第七十一案委員黃昭順等44人擬具「地方民意代表費用支給及村里長事務補助費補助條例第七條條文修正草案」、第七十二案委員李復興等47人擬具「地方民意代表費用支給及村里長事務補助費補助條例第七條條文修正草案」、第七十三案委員黃昭順等51人擬具「公務人員退休法第十六條之一條文修正草案」、第七十四案委員楊麗環等41人擬具「勞工保險條例部分條文修正草案」、第七十五案委員黃昭順等49人擬具「勞工保險條例部分條文修正草案」、第七十六案委員李全教等34人擬具「私有既成道路徵收補償處理條例草案」、第七十七案委員曾華德等32人擬具「原住民保留地造林補償條例草案」、第七十八案委員朱鳳芝等38人擬具「軍人福利條例草案」、第七十九案委員朱鳳芝等35人擬具「公教人員退休金其他現金給與補發條例草案」、第八十案委員朱鳳芝等35人擬具「國軍退除役官兵輔導條例部分條文修正草案」、第八十一案委員朱鳳芝等35人擬具「陸海空軍軍官士官服役條例部分條文修正草案」、第八十二案委員朱鳳芝等40人擬具「中華民國敵後受難歸來國軍官兵處理及補償條例草案」、第八十三案委員劉政鴻等48人擬具「農會法增訂第四十九條之三條文草案」、第八十四案委員吳敦義等50人擬具「土地稅法第二十八條之一條文修正草案」、第八十六案委員賴士葆等33人擬具「自由貿易港區設置管理條例部分條文修正草案」及第八十七案委員鄭金玲等35人擬具「中華民國前江浙閩粵反共救國軍官兵補發薪餉條例草案」等五十案之決定，提出復議，請公決案。〔本案原列討論事項第二十九案，經變更議程改列為第六案【在場委員204人，贊成者106人，反對者96人，多數通過；並採記名表決方式，表決結果名單附後(二)】。 決議：復議案不通過，均照原決定處理。〔在場委員204人，贊成復議案通過者86人，反對者117人，少數不通過；並採記名表決方式，表決結果名單附後(六)〕 ,NotPassed,http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/02/09/LCEWC03_060209.htm,"094/11/04, 094/11/08"
6,2,9,0,7,七、本院台聯黨團，針對本院第6屆第2會期第5次會議議事日程所列報告事項第十八案委員蔡正元等56人擬具「臺灣地區與大陸地區人民關係條例第三十八條條文修正草案」及第十九案委員劉憶如等123人擬具「臺灣地區與大陸地區人民關係條例第三十八條條文修正草案」等二案之決定，提出復議，請公決案。〔本案原列討論事項第十案，經變更議程改列為第七案【在場委員204人，贊成者106人，反對者96人，多數通過；並採記名表決方式，表決結果名單附後(二)】。 決議：復議案不通過，均照原決定處理。〔在場委員204人，贊成復議案通過者87人，反對者108人，少數不通過；並採記名表決方式，表決結果名單附後(七)〕 ,NotPassed,http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/02/09/LCEWC03_060209.htm,"094/11/04, 094/11/08"
6,2,9,0,8,八、本院台聯黨團，針對本院第6屆第2會期第1次會議議事日程所列報告事項第十五案委員張顯耀等38人擬具「臺灣地區與大陸地區人民關係條例第九條條文修正草案」、第十七案委員陳朝容等42人擬具「漁業法增訂第五十四條之一條文草案」、第四十一案委員丁守中等35人擬具「不在籍投票法草案」及第六十四案行政院函請審議「促進產業升級條例增訂第九條之三條文草案」等4案之決定，提出復議，請公決案。〔本案原列討論事項第十二案，經變更議程改列為第八案【在場委員204人，贊成者106人，反對者96人，多數通過；並採記名表決方式，表決結果名單附後(二)】。 決議：復議案不通過，均照原決定處理。〔在場委員205人，贊成復議案通過者97人，反對者108人，少數不通過；並採記名表決方式，表決結果名單附後(八)〕 ,NotPassed,http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/02/09/LCEWC03_060209.htm,"094/11/04, 094/11/08"
6,2,9,0,9,九、本院民進黨黨團，針對本院第6屆第1會期第4次會議議事日程所列報告事項第十二案委員孫大千等33人擬具「國軍老舊眷村改建條例第二十條、第二十八條及第三十條條文修正草案」、第十七案委員孫大千等33人擬具「中華民國前雲南人民反共志願軍補發薪餉處理條例草案」、第二十一案委員吳成典等53人擬具「八二三戰役參戰榮民晚年生活照顧特別條例草案」、第三十案委員羅志明等37人擬具「所得稅法第十七條條文修正草案」及第三十四案委員林郁方等54人擬具「軍人撫卹條例第十八條條文修正草案」等五案之決定，提出復議，請公決案。〔本案原列討論事項第十三案，經變更議程改列為第九案【在場委員204人，贊成者106人，反對者96人，多數通過；並採記名表決方式，表決結果名單附後(二)】。 決議：復議案不通過，均照原決定處理。〔在場委員202人，贊成復議案通過者85人，反對者105人，少數不通過；並採記名表決方式，表決結果名單附後(九)〕 ,NotPassed,http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/02/09/LCEWC03_060209.htm,"094/11/04, 094/11/08"
6,2,7,0,1,決議：國家通訊傳播委員會組織法草案修正通過。〔本次會議二讀時，第三條修正為：「本會掌理下列事項：一、通訊傳播監理政策之訂定、法令之訂定、擬訂、修正、廢止及執行。二、通訊傳播事業營運之監督管理及證照核發。三、通訊傳播系統及設備之審驗。四、通訊傳播工程技術規範之訂定。五、通訊傳播傳輸內容分級制度及其他法律規定事項之規範。六、通訊傳播資源之管理。七、通訊傳播競爭秩序之維護。八、資通安全之技術規範及管制。九、通訊傳播事業間重大爭議及消費者保護事宜之處理。十、通訊傳播境外事務及國際交流合作之處理。十一、通訊傳播事業相關基金之管理。十二、通訊傳播業務之監督、調查及裁決。十三、違反通訊傳播相關法令事件之取締及處分。十四、其他通訊傳播事項之監理。」；第四條修正為：「本會置委員十三人，均為專任，其中一人為主任委員，特任，對外代表本會；二人為副主任委員，職務比照簡任第十四職等；其餘委員職務比照簡任第十三職等。委員任期為三年，任滿得連任一次。（第一項），本會委員依電信、資訊、傳播、法律或財經等專業學識或實務經驗等領域，由各政黨（團）接受各界舉薦，並依其在立法院所占席次比例共推薦十五名，行政院院長推薦三名，交由提名審查委員會審查（以下簡稱審查會）。各政黨（團）應於本法施行日起十五日內完成推薦。（第二項），審查會應於本法施行日起十日內，由各政黨（團）依其在立法院所占席次比例推薦十一名學者、專家組成。審查會應於接受推薦名單後，二十日內完成審查，本項審查應以公聽會程序公開為之，並以記名投票表決。審查會先以審查會委員總額五分之三以上為可否之同意，如同意者未達十三名時，其缺額隨即以審查會委員總額二分之一以上為可否之同意。行政院院長應於七日內依審查會通過同意之名單提名，並送立法院同意後即任命之。（第三項），前二項之推薦，各政黨（團）未於期限內完成者，視為放棄。（第四項），本會應於任命後三日內自行集會成立，並互選正、副主任委員。行政院院長應於選出後七日內任命。主任委員、副主任委員應分屬不同政黨（團）推薦人選；行政院院長推薦之委員視同執政黨推薦人選。（第五項），委員任滿三個月前，應依第二項、第三項程序提名新任委員；委員出缺過半時，其缺額依第二項、第三項程序辦理。繼任委員任期至原任期屆滿為止。（第六項），首屆審查會所需人員及預算由國家通訊傳播委員會籌備處支應。第二屆審查會所需人員及預算由國家通訊傳播委員會支應。（第七項）」（在場委員210人，贊成者112人，反對者98人，多數通過；並採記名表決方式，表決結果名單附後）； ,Passed,http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/02/07/LCEWC03_060207.htm,"094/10/21, 094/10/25"
