SURVEY	ID	valuelabelcomb
2004第四期第五次：公民權組	age	"997不知道,忘記;998拒答;999不適用"
2004第四期第五次：公民權組	emon	77月;88月;99月
2004第四期第五次：公民權組	post	2福建省;3廣東省;4廣西省;5貴州省;6雲南省;7浙江省;8江西省;9湖南省;10湖北省;11四川省;12江蘇省;13安徽省;14河南省;15河北省;16山東省;17山西省;18陝西省;19甘肅省;20熱河省;21寧夏省;22綏遠省;23察哈爾省;24遼寧省;25安東省;26遼北省;27吉林省;28松江省;29合江省;30興安省;31黑龍江省;32嫩江省;33新疆省;34西康省;35青海省;36西藏地方;37蒙古地方;38海南島;39南京市;40上海市;41北平市;42天津市;43青島市;44西安市;45漢口市;46重慶市;47廣州市;48瀋陽市;49大連市;50哈爾濱市;51香港;52澳門;70美國;71加拿大;72中南美;73歐洲;74澳洲;76日本;77韓國;80東南亞;81越南;82印尼;83泰國;84菲律賓;85柬埔寨;86馬來西亞;87緬甸;88新加坡;99國外;100台北市中正區;103台北市大同區;104台北市中山區;105台北市松山區;106台北市大安區;108台北市萬華區;110台北市信義區;111台北市士林區;112台北市北投區;114台北市內湖區;115台北市南港區;116台北市文山區;117臺北市;199臺北縣市;200基隆市仁愛區;201基隆市信義區;202基隆市中正區;203基隆市中山區;204基隆市安樂區;205基隆市暖暖區;206基隆市七堵區;207台北縣萬　里;208台北縣金　山;209連江縣南　竿;210連江縣北　竿;211連江縣莒　光;212連江縣東　引;213連江縣;214基隆市;220台北縣板　橋;221台北縣汐　止;222台北縣深　坑;223台北縣石　碇;224台北縣瑞　芳;226台北縣平　溪;227台北縣雙　溪;228台北縣貢　寮;231台北縣新　店;232台北縣坪　林;233台北縣烏　來;234台北縣永　和;235台北縣中　和;236台北縣土　城;237台北縣三　峽;238台北縣樹　林;239台北縣鶯　歌;241台北縣三　重;242台北縣新　莊;243台北縣泰　山;244台北縣林　口;247台北縣蘆　洲;248台北縣五　股;249台北縣八　里;251台北縣淡  水;252台北縣三　芝;253台北縣石  門;254臺北縣;260宜蘭縣宜  蘭;261宜蘭縣頭  城;262宜蘭縣礁  溪;263宜蘭縣壯  圍;264宜蘭縣員　山;265宜蘭縣羅　東;266宜蘭縣三　星;267宜蘭縣大　同;268宜蘭縣五　結;269宜蘭縣冬　山;270宜蘭縣蘇　澳;272宜蘭縣南　澳;273宜蘭縣;290釣魚台列嶼;300新竹市;302新竹縣竹　北;303新竹縣湖　口;304新竹縣新　豐;305新竹縣新　埔;306新竹縣關　西;307新竹縣芎　林;308新竹縣寶　山;310新竹縣竹　東;311新竹縣五　峰;312新竹縣橫　山;313新竹縣尖　石;314新竹縣北　埔;315新竹縣峨　眉;316新竹縣;320桃園縣中　壢;324桃園縣平　鎮;325桃園縣龍　潭;326桃園縣楊　梅;327桃園縣新　屋;328桃園縣觀　音;330桃園縣桃　園;333桃園縣龜　山;334桃園縣八　德;335桃園縣大　溪;336桃園縣復　興;337桃園縣大　園;338桃園縣蘆  竹;339桃園縣;350苗栗縣竹　南;351苗栗縣頭　份;352苗栗縣三　灣;353苗栗縣南　庄;354苗栗縣獅　潭;356苗栗縣後　龍;357苗栗縣通　霄;358苗栗縣苑  裡;360苗栗縣苖　栗;361苗栗縣造　橋;362苗栗縣頭　屋;363苗栗縣公　館;364苗栗縣大　湖;365苗栗縣泰　安;366苗栗縣銅　鑼;367苗栗縣三　義;368苗栗縣西　湖;369苗栗縣卓  蘭;370苗栗縣;399新竹縣市;400台中市中　區;401台中市東　區;402台中市南　區;403台中市西　區;404台中市北　區;406台中市北屯區;407台中市西屯區;408台中市南屯區;409臺中市;411台中縣太　平;412台中縣大　里;413台中縣霧　峰;414台中縣烏　日;420台中縣豐　原;421台中縣后　里;422台中縣石　岡;423台中縣東　勢;424台中縣和　平;426台中縣新　社;427台中縣潭　子;428台中縣大　雅;429台中縣神　岡;432台中縣大　肚;433台中縣沙　鹿;434台中縣龍　井;435台中縣梧　棲;436台中縣清　水;437台中縣大　甲;438台中縣外　埔;439台中縣大  安;440台中縣;499臺中縣市;500彰化縣彰　化;502彰化縣芬　園;503彰化縣花　壇;504彰化縣秀　水;505彰化縣鹿　港;506彰化縣福　興;507彰化縣線　西;508彰化縣和　美;509彰化縣伸  港;510彰化縣員　林;511彰化縣社  頭;512彰化縣永　靖;513彰化縣埔　心;514彰化縣溪　湖;515彰化縣大  村;516彰化縣埔　鹽;520彰化縣田　中;521彰化縣北　斗;522彰化縣田　尾;523彰化縣埤　頭;524彰化縣溪　州;525彰化縣竹　塘;526彰化縣二　林;527彰化縣大　城;528彰化縣芳　苑;530彰化縣二  水;531彰化縣;540南投縣南　投;541南投縣中　寮;542南投縣草　屯;544南投縣國　姓;545南投縣埔　里;546南投縣仁　愛;551南投縣名　間;552南投縣集　集;553南投縣水　里;555南投縣魚　池;556南投縣信　義;557南投縣竹　山;558南投縣鹿　谷;559南投縣;600嘉義市;602嘉義縣番　路;603嘉義縣梅　山;604嘉義縣竹　崎;605嘉義縣阿里山;606嘉義縣中　埔;607嘉義縣大　埔;608嘉義縣水　上;611嘉義縣鹿　草;612嘉義縣太　保;613嘉義縣朴　子;614嘉義縣東　石;615嘉義縣六　腳;616嘉義縣新　港;621嘉義縣民　雄;622嘉義縣大　林;623嘉義縣溪　口;624嘉義縣義　竹;625嘉義縣布　袋;626嘉義縣;630雲林縣斗　南;631雲林縣大　埤;632雲林縣虎　尾;633雲林縣土　庫;634雲林縣褒　忠;635雲林縣東　勢;636雲林縣臺　西;637雲林縣崙　背;638雲林縣麥　寮;640雲林縣斗　六;643雲林縣林　內;646雲林縣古　坑;647雲林縣莿　桐;648雲林縣西　螺;649雲林縣二　崙;651雲林縣北　港;652雲林縣水　林;653雲林縣口　湖;654雲林縣四　湖;655雲林縣元　長;656雲林縣;699嘉義縣市;700台南市中　區;701台南市東　區;702台南市南　區;703台南市西　區;704台南市北　區;708台南市安平區;709台南市安南區;710台南縣永　康;711台南縣歸　仁;712台南縣新　化;713台南縣左　鎮;714台南縣玉　井;715台南縣楠　西;716台南縣南　化;717台南縣仁　德;718台南縣關　廟;719台南縣龍　崎;720台南縣官　田;721台南縣麻　豆;722台南縣佳　里;723台南縣西　港;724台南縣七　股;725台南縣將　軍;726台南縣學　甲;727台南縣北　門;730台南縣新　營;731台南縣後　壁;732台南縣白　河;733台南縣東　山;734台南縣六　甲;735台南縣下　營;736台南縣柳　營;737台南縣鹽　水;741台南縣善　化;742台南縣大　內;743台南縣山　上;744台南縣新　市;745台南縣安　定;746臺南縣;747臺南市;799臺南縣市;800高雄市新興區;801高雄市前金區;802高雄市苓雅區;803高雄市鹽埕區;804高雄市鼓山區;805高雄市旗津區;806高雄市前鎮區;807高雄市三民區;811高雄市楠梓區;812高雄市小港區;813高雄市左營區;814高雄縣仁　武;815高雄縣大　社;817南海諸島東　沙;819南海諸島南　沙;820高雄縣岡　山;821高雄縣路　竹;822高雄縣阿　蓮;823高雄縣田　寮;824高雄縣燕　巢;825高雄縣橋　頭;826高雄縣梓　官;827高雄縣彌　陀;828高雄縣永　安;829高雄縣湖　內;830高雄縣鳳　山;831高雄縣大　寮;832高雄縣林　園;833高雄縣鳥　松;836高雄縣鳳　山;840高雄縣大　樹;842高雄縣旗　山;843高雄縣美　濃;844高雄縣六　龜;845高雄縣內　門;846高雄縣杉　林;847高雄縣甲　仙;848高雄縣桃　源;849高雄縣三　民;851高雄縣茂　林;852高雄縣茄　萣;853高雄縣;854高雄市;880澎湖縣馬  公;881澎湖縣西  嶼;882澎湖縣望  安;883澎湖縣七　美;884澎湖縣白　沙;885澎湖縣湖　西;886澎湖縣;890金門縣金　沙;891金門縣金　湖;892金門縣金　寧;893金門縣金　城;894金門縣烈　嶼;896金門縣烏　坵;897金門縣;899高雄縣市;900屏東縣屏  東;901屏東縣三地門;902屏東縣霧　臺;903屏東縣瑪　家;904屏東縣九　如;905屏東縣里　港;906屏東縣高　樹;907屏東縣鹽　埔;908屏東縣長　治;909屏東縣麟　洛;911屏東縣竹　田;912屏東縣內　埔;913屏東縣萬　丹;920屏東縣潮　州;921屏東縣泰　武;922屏東縣來　義;923屏東縣萬　巒;924屏東縣嵌　頂;925屏東縣新　埤;926屏東縣南　州;927屏東縣林　邊;928屏東縣東　港;929屏東縣琉　球;931屏東縣佳　冬;932屏東縣新　園;940屏東縣枋　寮;941屏東縣枋　山;942屏東縣春　日;943屏東縣獅　子;944屏東縣車　城;945屏東縣牡　丹;946屏東縣恆　春;947屏東縣滿　洲;948屏東縣;950台東縣臺　東;951台東縣綠　島;952台東縣蘭　嶼;953台東縣延　平;954台東縣卑　南;955台東縣鹿　野;956台東縣關　山;957台東縣海　端;958台東縣池　上;959台東縣東　河;961台東縣成　功;962台東縣長　濱;963台東縣太麻里;964台東縣金　峰;965台東縣大　武;966台東縣達　仁;967臺東縣;970花蓮縣花　蓮;971花蓮縣新　城;972花蓮縣秀　林;973花蓮縣吉　安;974花蓮縣壽　豐;975花蓮縣鳳　林;976花蓮縣光　復;977花蓮縣豐　濱;978花蓮縣瑞　穗;979花蓮縣萬　榮;981花蓮縣玉　里;982花蓮縣卓　溪;983花蓮縣富　里;984花蓮縣;993不固定;994到處跑;997不知道;998拒答;999不適用
2004第四期第五次：公民權組	smon	77月;88月;99月
2004第四期第五次：公民權組	spage	"997不知道,忘記;998拒答;999不適用"
2004第四期第五次：公民權組	v1	1男;2女
2004第四期第五次：公民權組	v10	10301國立華僑中學;10303國立泰山高中;10304國立板橋高中;10335國立新店高中;10336國立中和高中;10337國立新莊高中;10338國立三重高中;10339國立林口高中;10402國立瑞芳高工;10430國立三重商工;10433國立海山高工;10434國立淡水商工;11301私立淡江高中;11306私立金陵女中;11309私立南山高中;11310私立恆毅高中;11311私立聖心女中;11312私立崇義高中;11314私立中華高中;11315私立東海高中;11316私立格致高中;11317私立醒吾高中;11318私立徐匯高中;11322私立崇光女中;11323私立光仁高中;11324私立竹林高中;11325私立及人高中;11329私立辭修高中;11405私立樹人家商;11407私立復興商工;11408私立南強工商;11413私立穀保家商;11419私立開明工商;11420私立智光商工;11421私立清傳高商;11426私立能仁家商;11427私立豫章工商;11431私立莊敬工家;11432私立中華商海;11971私立光華商職;14302縣立海山高中;14311縣立三重高中;14315縣立永平高中;14322縣立樹林高中;14326縣立明德高中;14332縣立秀峰高中;14338縣立金山高中;14343縣立安康高中;14347縣立雙溪高中;14348縣立石碇高中;14356縣立清水高中;14357縣立三民高中;14362縣立錦和高中;14439縣立鶯歌工商;20301國立蘭陽女中;20302國立宜蘭高中;20308國立羅東高中;20403國立宜蘭高商;20404國立羅東高商;20405國立蘇澳海事;20407國立羅東高工;20409國立頭城家商;20901宜蘭技術學院附農工補校;21301私立慧燈高中;21310私立中道高中;21406私立聖母高護;24322縣立南澳高中;30304國立桃園高中;30305國立中壢高中;30306國立武陵高中;30316國立楊梅高中;30325國立陽明高中;30327國立內壢高中;30402國立龍潭農工;30403國立桃園農工;30407國立中壢高商;30408國立中壢家商;31301私立泉僑高中;31309私立育達高中;31310私立六和高中;31311私立復旦高中;31312私立治平高中;31313私立振聲高中;31317私立光啟高中;31318私立啟英高中;31319私立清華高中;31320私立新興高中;31323私立至善高中;31324私立大興高中;31326私立大華高中;31414私立成功工商;31415私立方曙工家;31421私立永平工商;31422私立新生醫校;34306縣立南崁高中;34319縣立平鎮高中;34347縣立永豐高中;40302國立竹東高中;40304國立關西高中;40308國立竹北高中;41303私立義民高中;41305私立忠信高中;41306私立東泰高中;41307私立仰德高中;41401私立內思高工;44320縣立湖口高中;50303國立苗栗高中;50310國立竹南高中;50314國立卓蘭實驗高中;50315國立苑裡高中;50401國立大湖農工;50404國立苗栗農工;50407國立苗栗高商;51302私立君毅高中;51305私立大成高中;51306私立建台高中;51408私立中興商工;51411私立育民工家;51412私立賢德工商;51413私立龍德家商;54309縣立苑裡高中;54317縣立興華高中;60303國立大甲高中;60305國立清水高中;60312國立豐原高中;60322國立大里高中;60401國立豐原高商;60402國立大甲高工;60404國立東勢高工;60407國立沙鹿高工;60408國立霧峰農工;61301私立常春藤高中;61306私立明台高中;61309私立致用高中;61310私立大明高中;61311私立嘉陽高中;61313私立明道高中;61314私立僑泰高中;61315私立華盛頓高中;61316私立青年高中;61317私立弘文高中;61318私立立人高中;61319私立玉山高中;61321私立慈明高中;64308縣立后綜高中;64324縣立大里高中;64328縣立新社高中;64336縣立長億高中;64342縣立中港高中;70301國立彰化女中;70304國立員林高中;70307國立彰化高中;70316國立鹿港高中;70319國立溪湖高中;70401國立彰化師大附屬高工;70402國立永靖高工;70403國立二林工商;70405國立秀水高工;70406國立彰化高商;70408國立員林農工;70409國立崇實高工;70410國立員林家商;70415國立北斗家商;71311私立精誠高中;71317私立文興高中;71318私立正德高中;71413私立大慶商工;71414私立達德商工;74313縣立二林高中;80302國立南投高中;80305國立中興高中;80307國立竹山高中;80308國立暨大附中;80401國立仁愛高農;80403國立埔里高工;80404國立南投高商;80406國立草屯商工;80410國立水里商工;81311私立五育高中;81312私立三育實驗完全中學;81409私立同德家商;84309縣立旭光高中;90305國立斗六高中;90306國立北港高中;90315國立虎尾高中;90401國立虎尾農工;90402國立西螺農工;90403國立斗六家商;90404國立北港農工;90413國立土庫商工;91307私立永年高中;91308私立正心高中;91309私立崇先高中;91311私立文生高中;91312私立巨人高中;91316私立揚子高中;91318私立義峰高中;91410私立大成商工;91414私立大德工商;94301縣立斗南高中;94307縣立麥寮高中;100301國立東石高中;100302國立新港藝術高中;100402國立民雄農工;101303私立同濟高中;101304私立協同高中;101305私立協志高中;101406私立萬能工商;101407私立弘德工商;110302國立新豐高中;110308國立臺南大學附中;110311國立北門高中;110312國立新營高中;110314國立後壁高中;110315國立善化高中;110317國立新化高中;110401國立新化高工;110403國立白河商工;110404國立北門農工;110405國立曾文家商;110406國立新營高工;110407國立玉井工商;110409國立臺南高工;110410國立曾文農工;111313私立南光高中;111318私立鳳和高中;111320私立港明高中;111321私立興國高中;111322私立明達高中;111323私立黎明高中;111325私立華濟永安高中;111326私立新榮高中;111416私立天仁工商;111419私立陽明工商;111424私立敏惠高護(已改制);111427私立育德工家;114306縣立大灣高中;120303國立鳳山高中;120304國立岡山高中;120311國立旗美高中;120319國立鳳新高中;120401國立旗山農工;120402國立岡山農工;120409國立鳳山商工;121306私立樂育高中;121307私立普門高中;121318私立正義高中;121405私立中山工商;121408私立立德商工;121410私立旗美商工;121413私立高英工商;121414私立樹人醫校;121415私立華德工家;121416私立高旗工家;121417私立高苑工商;124302縣立文山高中;124311縣立林園高中;124313縣立仁武高中;124322縣立路竹高中;124333縣立六龜高中;124340縣立福誠高中;130302國立屏東女中;130305國立屏東高中;130306國立潮州高中;130322國立屏北高中;130401國立內埔農工;130403國立屏東高工;130404國立佳冬高農;130410國立東港海事;130417國立恆春工商;131307私立屏榮高中;131308私立陸興高中;131311私立美和高中;131312私立新基高中;131409私立民生家商;131415私立慈惠高護(已改制);131416私立華洲工家;131418私立日新工商;134304縣立大同高中;134321縣立枋寮高中;134334縣立來義高中;140301國立臺東體育實驗高中;140302國立臺東女中;140303國立臺東高中;140401國立臺東農工;140404國立關山工商;140405國立臺東高商;140408國立成功商業水產;141307私立育仁高中;141406私立公東高工;144322縣立蘭嶼高中;150302國立花蓮女中;150303國立花蓮高中;150309國立玉里高中;150401國立花蓮高農;150404國立花蓮高工;150405國立花蓮高商;150411國立光復商工;151306私立海星高中;151307私立四維高中;151312私立慈大附中;151408私立國光商工;151410私立中華工商;154301縣立體育實驗高中;160302國立馬公高中;160401國立澎湖海事高職;170301國立基隆女中;170302國立基隆高中;170403國立基隆海事;170404國立基隆商工;171306私立二信高中;171308私立聖心高中;171405私立光隆家商;171407私立培德工家;173304市立中山高中;173306市立安樂高中;173307市立暖暖高中;180301國立科學工業園區實驗高中;180302國立新竹女中;180309國立新竹高中;180403國立新竹高商;180404國立新竹高工;181305私立光復高中;181306私立曙光女中;181307私立磐石高中;181308私立世界高中;183306市立成德高中;183307市立香山高中;183313市立建功高中;190301國立臺中女中;190302國立臺中一中;190303國立臺中二中;190315國立文華高中;190404國立臺中家商;190406國立臺中高農;190407國立臺中高工;190901台中技院附高商進修學校;191301私立東大附中;191305私立新民高中;191308私立宜寧高中;191309私立明德女中;191311私立衛道高中;191313私立曉明女中;191314私立嶺東高中;191412私立光華高工;193303市立忠明高中;193313市立西苑高中;193316市立惠文高中;200302國立嘉義女中;200303國立嘉義高中;200401國立華南高商;200405國立嘉義高工;200406國立嘉義高商;200407國立嘉義家職;201304私立興華高中;201309私立仁義高中;201310私立嘉華高中;201312私立輔仁高中;201313私立宏仁女中;201314私立立仁高中;201408私立東吳工家;201411私立大同高商;201415私立崇仁高護;210303國立臺南二中;210305國立臺南一中;210306國立臺南女中;210309國立家齊女中;210408國立臺南高商;210416國立臺南海事;210901國立成功大學附設高中進修學校;211301私立長榮高中;211302私立長榮女中;211304私立聖功女中;211310私立光華女中;211314私立六信高中;211315私立瀛海高中;211317私立崑山高中;211318私立德光女中;211407私立南英商工;211412私立亞洲工商;211419私立慈幼工商;212411省立台南護理學校(現台南護專);213303市立南寧中學;213320市立土城高中;311401私立育達家商;313301市立西松高中;313302市立中崙高中;321301私立祐德中學;321402私立協和工商;323301市立松山高中;323302市立永春高中;323303市立河濱高中(籌);323401市立松山家商;323402市立松山工農;330301國立師大附中;331301私立延平中學;331302私立金甌女中;331303私立開平高中;331402私立東方工商;331403私立喬治工商;333301市立和平高中;333401市立大安高工;341301私立中興中學;341302私立大同高中;341402私立稻江護理家事學校;343301市立中山女中;343302市立大同高中;343303市立大直高中;351301私立強恕中學;351402私立開南商工;353301市立建國中學;353302市立成功中學;353303市立北一女中;361301私立靜修女中;361401私立稻江高商;363301市立明倫高中;363302市立成淵高中;371301私立立人高中;373301市立華江高中;373302市立大理高中;380301國立政大附中(籌);381301私立東山中學;381302私立滬江中學;381303私立大誠中學;381304私立再興中學;381305私立景文高中;383301市立景美女中;383302市立萬芳高中;383401市立木柵高工;393301市立南港高中;393302市立育成高中;393401市立南港高工;400401國立復興劇校;401301私立文德女中;401302私立方濟中學;401303私立達人女中;401401私立恕德家商(原西湖工商);403301市立內湖高中;403302市立麗山高中;403303市立南湖高中;403401市立內湖高工;411301私立泰北中學;411302私立衛理女中;411303私立華興中學;411401私立華岡藝校;413301市立陽明高中;413302市立百齡高中;413401市立士林高商;421301私立薇閣高中;421302私立十信高中;421401私立珠海高商;421402私立志仁家商;421404私立惇敘工商;423301市立復興高中;423302市立中正中學;521301私立明誠高中;521303私立大榮高中;521401私立中華藝校;523301市立鼓山高中;533301市立左營高中;533302市立新莊高中;533401市立海青工商;533402市立三民家商;541301私立國光高中;543301市立中山高中;543302市立楠梓高中;551301私立立志高中;551402私立樹德家商;553301市立高雄中學;553302市立三民高中;553401市立高雄高工;563301市立新興高中;563401市立高雄高商;573301市立高雄女中;580301國立高師附中;581301私立復華高中;581302私立道明中學;581401私立國際商工;581402私立三信家商;583301市立中正高中;593301市立前鎮高中;593302市立瑞祥高中;593401市立中正高工;611401私立高鳳工家;613301市立小港高中;710301國立金門高中;710401國立金門農工;720301國立馬祖高中;9e+05軍警士官學校;999300高中;999400高職;999997不知道;999998拒答;999999不適用
2004第四期第五次：公民權組	v100	1有;2沒有;97不知道;98拒答
2004第四期第五次：公民權組	v101_1	0沒有;1有;97不知道;98拒答;99不適用
2004第四期第五次：公民權組	v101_10	0沒有;1有;97不知道;98拒答;99不適用
