id,zip,h5,h6r,h7,h8,h9,party,term,bluepoints,greenpoints,wonelection
103101,103,2,2,19,7,96,民主進步黨,9,0,4,NA
103103,103,2,2,4,2,96,民主進步黨,9,1,3,NA
103111,103,96,96,96,1,96,民主進步黨,9,1,0,NA
103113,103,96,92,96,12,2,沒有投票權(跳答h8),9,0,1,NA
103116,103,96,92,96,12,12,沒有投票權(跳答h8),9,0,0,NA
103117,103,96,96,96,1,96,NA,9,1,0,NA
103119,103,96,92,96,12,2,沒有投票權(跳答h8),9,0,1,NA
103123,103,2,19,19,12,7,民主進步黨,9,0,4,*
103124,103,98,97,97,11,12,民主進步黨,9,0,0,NA
103126,103,3,1,19,9,1,新黨,9,4,1,NA
103129,103,1,1,1,1,96,新黨,9,4,0,NA
103131,103,2,2,4,12,2,民主進步黨,9,1,3,NA
103135,103,3,4,1,4,96,新黨,9,3,0,NA
103138,103,98,98,98,98,98,民主進步黨,9,0,0,NA
103139,103,2,2,2,10,2,民主進步黨,9,0,5,NA
103203,103,96,96,96,12,2,民主進步黨,9,0,1,NA
103207,103,2,24,2,2,96,信心希望聯盟,9,0,3,NA
103214,103,98,98,98,12,12,民主進步黨,9,0,0,NA
103215,103,2,2,2,12,2,民主進步黨,9,0,4,NA
103225,103,1,3,3,3,96,新黨,9,4,0,NA
103227,103,2,2,2,2,96,民主進步黨,9,0,4,NA
103228,103,1,1,1,12,3,新黨,9,4,0,NA
103229,103,3,4,4,4,96,新黨,9,3,0,NA
103232,103,96,96,96,1,96,民主進步黨,9,1,0,NA
103233,103,1,1,1,1,96,新黨,9,4,0,NA
103234,103,96,96,96,12,12,民主進步黨,9,0,0,NA
106101,106,2,2,2,2,96,綠黨社會民主黨聯盟,9,0,4,NA
106103,106,1,1,1,12,12,中國國民黨,9,3,0,NA
106113,106,3,1,1,1,96,中國國民黨,9,4,0,NA
106114,106,1,1,3,12,9,中國國民黨,9,4,0,NA
106120,106,2,1,97,1,96,中國國民黨,9,2,1,NA
106121,106,96,96,96,12,12,中國國民黨,9,0,0,NA
106124,106,2,2,2,2,96,綠黨社會民主黨聯盟,9,0,4,NA
106127,106,2,9,9,12,8,綠黨社會民主黨聯盟,9,0,3,NA
106134,106,96,96,96,12,12,中國國民黨,9,0,0,NA
106136,106,2,2,2,2,96,綠黨社會民主黨聯盟,9,0,4,NA
106138,106,2,2,2,7,96,綠黨社會民主黨聯盟,9,0,4,NA
