votecontent,pp_keyword,billuid,pp_duplicated_item,pp_lawamendment,pp_enactment,pp_enforcement,pp_res_bynew,pp_res_bycompete,pp_groupbased,pp_res_notjudged,pp_committee,pp_related_q,pp_ignored,term,period,meetingno,temp_meeting_no,billn,billresult,pp_for_against,billconflict
"(¤G¤Q)¥Á¶iÄÒÄÒ¹Î´£Ä³°Q½×¨Æ¶µ²Ä¤@®×¬°¡G
(¤@)¥»°|ªÀ·|ºÖ§Q¤Î½Ã¥ÍÀô¹Ò©e­û·|³ø§i¨Ö®×¼f¬d¦æ¬F°|¨ç½Ð¼fÄ³¡u³Ò°Ê°ò·Çªk³¡¤À±ø¤å­×¥¿¯ó®×¡v¡B¥»°|©e­û¤ý¨|±Óµ¥17¤HÀÀ¨ã¡u³Ò°Ê°ò·Çªk²Ä¤T¤Q¤K±ø±ø¤å­×¥¿¯ó®×¡v¡B¥Á¶iÄÒÄÒ¹ÎÀÀ¨ã¡u³Ò°Ê°ò·Çªk²Ä¤T¤Q¤E±ø±ø¤å­×¥¿¯ó®×¡v¡B®É¥N¤O¶qÄÒ¹ÎÀÀ¨ã¡u³Ò°Ê°ò·Çªk³¡¤À±ø¤å­×¥¿¯ó®×¡v¡B¿Ë¥ÁÄÒÄÒ¹ÎÀÀ¨ã¡u³Ò°Ê°ò·Çªk²Ä¤T¤Q¤»±ø¡B²Ä¤C¤Q¥|±ø¤Î²Ä¤C¤Q¤E±ø±ø¤å­×¥¿¯ó®×¡v¡B©e­ûÁé¤Õ¬·µ¥17¤HÀÀ¨ã¡u³Ò°Ê°ò·Çªk²Ä¤T¤Q¤K±ø±ø¤å­×¥¿¯ó®×¡v¤Î©e­ûªL²Qªâµ¥18¤HÀÀ¨ã¡u³Ò°Ê°ò·Çªk²Ä¤T¤Q¤K±ø¤Î²Ä¤C¤Q¤E±ø±ø¤å­×¥¿¯ó®×¡v®×¡C(¤G)¥»°|ªÀ·|ºÖ§Q¤Î½Ã¥ÍÀô¹Ò©e­û·|³ø§i¼f¬d©e­û§d§Ó´­µ¥16¤HÀÀ¨ã¡u³Ò°Ê°ò·Çªk²Ä¤T¤Q¤»±ø±ø¤å­×¥¿¯ó®×¡v®×¡C¸gªí¨Mµ²ªG¤©¥H³q¹L¡C¦b³õ©e­û101¤H¡AÃÙ¦¨ªÌ61¤H¡A¤Ï¹ïªÌ40¤H¡A¦h¼Æ³q¹L¡F¨Ã±Ä°O¦Wªí¨M¤è¦¡¡Aªí¨Mµ²ªG¦W³æªþ«á",PRO¦æ¬F°|´£®×¤@¨Ò¤@¥ð,09-02-YS-13-028,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,,d5f,,9,2,13,0,28,Passed,1,1
"(¤Q¤E)°ê¥ÁÄÒÄÒ¹Î´£Ä³¼W¦C°Q½×¨Æ¶µ²Ä¤Q¥|®×¬°¡G
°]¬F©e­û·|³ø§i¼f¬d©e­û´¿»Ê©vµ¥18¤HÀÀ¨ã¡u«H°U·~ªk¼W­q²Ä¤T±ø¤§¤@±ø¤å¯ó®×¡v®×¡C¸gªí¨Mµ²ªG¤£¤©³q¹L¡C¦b³õ©e­û104¤H¡AÃÙ¦¨ªÌ37¤H¡A¤Ï¹ïªÌ62¤H¡A±óÅvªÌ5¤H¡A¤Ö¼Æ¤£³q¹L¡F¨Ã±Ä°O¦Wªí¨M¤è¦¡¡Aªí¨Mµ²ªG¦W³æªþ«á",«H°Uªº¨ü°U»È¦æ¼W¥[³B¤À«H°Uª«Åv­­,09-02-YS-13-027,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,,,,9,2,13,0,27,Not Passed,#NULL!,NA
"(¤Q¤K)°ê¥ÁÄÒÄÒ¹Î´£Ä³¼W¦C°Q½×¨Æ¶µ²Ä¤Q¤T®×¬°¡G
°]¬F©e­û·|³ø§i¼f¬d©e­û´¿»Ê©vµ¥18¤HÀÀ¨ã¡uª÷¿Ä®ø¶OªÌ«OÅ@ªk²Ä¥|±ø¤Î²Ä¤T¤Q±ø¤§¤@±ø¤å­×¥¿¯ó®×¡v®×¡C¸gªí¨Mµ²ªG¤£¤©³q¹L¡C¦b³õ©e­û104¤H¡AÃÙ¦¨ªÌ42¤H¡A¤Ï¹ïªÌ62¤H¡A¤Ö¼Æ¤£³q¹L¡F¨Ã±Ä°O¦Wªí¨M¤è¦¡¡Aªí¨Mµ²ªG¦W³æªþ«á",ÂX¤jª÷¿Ä®ø¶OªÌ«OÅ@ªk¾A¥Î¹ï¶H¡C¦ý«á¨Ó¤TÅª³q¹L,09-02-YS-13-026,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,,,,9,2,13,0,26,Not Passed,#NULL!,NA
"(¤Q¤C)°ê¥ÁÄÒÄÒ¹Î´£Ä³¼W¦C°Q½×¨Æ¶µ²Ä¤Q¤G®×¬°¡G
°]¬F©e­û·|³ø§i¼f¬d©e­û¿à¤h¸¶µ¥23¤HÀÀ¨ã¡u°ê»Úª÷¿Ä·~°È±ø¨Ò²Ä¤T±ø¡B²Ä¤G¤Q¤G±ø¤§¤G¤Î²Ä¤G¤Q¤G±ø¤§¤T±ø¤å­×¥¿¯ó®×¡v®×¡C¸gªí¨Mµ²ªG¤£¤©³q¹L¡C¦b³õ©e­û103¤H¡AÃÙ¦¨ªÌ36¤H¡A¤Ï¹ïªÌ62¤H¡A±óÅvªÌ5¤H¡A¤Ö¼Æ¤£³q¹L¡F¨Ã±Ä°O¦Wªí¨M¤è¦¡¡Aªí¨Mµ²ªG¦W³æªþ«á",°ê»Úª÷¿Ä·~°È¤À¦æ¯S³\±ø¥ó©ú­qªk«ß±ÂÅv¡]¦³¤TÅª³q¹L¡^,09-02-YS-13-025,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,,,,9,2,13,0,25,Not Passed,#NULL!,NA
"(¤Q¤»)°ê¥ÁÄÒÄÒ¹Î´£Ä³¼W¦C°Q½×¨Æ¶µ²Ä¤Q¤@®×¬°¡G
°]¬F©e­û·|³ø§i¨Ö®×¼f¬d©e­û¿à¤h¸¶µ¥19¤HÀÀ¨ã¡u«OÀIªk²Ä¤@¦Ê¤»¤Q¤T±ø±ø¤å­×¥¿¯ó®×¡v¤Î¿Ë¥ÁÄÒÄÒ¹ÎÀÀ¨ã¡u«OÀIªk²Ä¤@¦Ê¥|¤Q¤K±ø¤§¤@±ø¤å­×¥¿¯ó®×¡v®×¡C¸gªí¨Mµ²ªG¤£¤©³q¹L¡C¦b³õ©e­û104¤H¡AÃÙ¦¨ªÌ42¤H¡A¤Ï¹ïªÌ62¤H¡A¤Ö¼Æ¤£³q¹L¡F¨Ã±Ä°O¦Wªí¨M¤è¦¡¡Aªí¨Mµ²ªG¦W³æªþ«á",PRO³z¹L«OÀI¥N²z¤H¹q¤l§ë«O§@·~¡F¥[±jª÷¿ÄºÊ²z,09-02-YS-13-024,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,,"c7(,d5c)",,9,2,13,0,24,Not Passed,1,NA
"(¤Q¤­)°ê¥ÁÄÒÄÒ¹Î´£Ä³¼W¦C°Q½×¨Æ¶µ²Ä¤Q®×¬°¡G
©e­û§õ«Û¨qµ¥19¤H¡AÅ²©ó¨ü¹µÂå®v¦p¦ó¾A¥Î³Ò°Ê°ò·Çªk¨è¥Ñ½Ã¥ÍºÖ§Q³¡¬ãÀÀ¤¤¡A±©¬°´£¤É°ê¤ºÂåÀøÀô¹Ò¡A¬ãÀÀ¶i«×¦Û¨è¤£®e½w¡A§óÀ³©ó107¦~1¤ë1¤é«e¥O¨ü¹µÂå®v¾A¥Î³Ò°Ê°ò·Çªk¤è¬°¥¿¿ì¡C¤S¾Ú½Ã¥ÍºÖ§Q³¡´£¨Ñ¤§³W¹º»¡©ú¡A¡u¼W¥[Á{§ÉÂåÀø¤H¤O¨Ñµ¹¡v¬°¨ä±À°Êµ¦²¤¤§¤@¡A¦ý¦Ò¶q¡u¸¨¹ê¤À¯ÅÂåÀø»PÂà¶E¡v¦P¬°¸Ó³¡¤§°t®M±¹¬I¡A§Y¦³¥²­n¼f·Vµû¦ô­Õ¤é«á¥Á²³´NÂå¦æ¬°¼Ò¦¡§ïÅÜ¡A´µ®É¦U¯ÅÂåÀø¾÷ºc¬°½T«OªA°È¶q¯à¤Î±M¬ìÂå®v°V½m©Ò»Ý¤§ÂåÀø¤H¤O¨s¬°¦p¦ó¡B¬O§_¥i¯à¤Ï­PÂåÀø¤H¤O¹L³Ñµ¥±¡§Îµo¥Í¡A¬¸«Ø½Ð°|·|§@¦¨¨MÄ³¡G¡u½Ð½Ã¥ÍºÖ§Q³¡©ó¤@­Ó¤ë¤º¼f°uÂåÀøÅé¨t§ï­²¤§¤è°w¡B®Éµ{»PÂåÀø¤H¤O¯Ê¤f¤§Ãö³s¡A­«¦æÀË°Q¨ü¹µÂå®v¯Ç¤J³Ò°òªk¤§°t®M±¹¬I¡A¥H§K®{¯ÓÂå®v¾i¦¨©Ò§ë¤J¤§¸ê·½¡A¬Æ¦Ü¬y®öÂå®v²£¥Í¡C¡v½Ð¤½¨M®×¡C¸gªí¨Mµ²ªG¤£¤©³q¹L¡C¦b³õ©e­û102¤H¡AÃÙ¦¨ªÌ40¤H¡A¤Ï¹ïªÌ62¤H¡A¤Ö¼Æ¤£³q¹L¡F¨Ã±Ä°O¦Wªí¨M¤è¦¡¡Aªí¨Mµ²ªG¦W³æªþ«á",PRO¨nºòÃö©óÂå®v¤H¤O¯Ê¤f,09-02-YS-13-023,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,,d5f,,9,2,13,0,23,Not Passed,1,NA
"(¤Q¥|)°ê¥ÁÄÒÄÒ¹Î´£Ä³¼W¦C°Q½×¨Æ¶µ²Ä¤E®×¬°¡G
¥»°|¸gÀÙ©e­û·|³ø§i¨Ö®×¼f¬d¦æ¬F°|¨ç½Ð¼fÄ³¡u³¥¥Í°Êª««O¨|ªk³¡¤À±ø¤å­×¥¿¯ó®×¡v¤Î©e­û¤Õ¤å¦Nµ¥18¤HÀÀ¨ã¡u³¥¥Í°Êª««O¨|ªk²Ä¤G¤Q¤@±ø¤Î²Ä¤G¤Q¤@±ø¤§¤@±ø¤å­×¥¿¯ó®×¡v®×¡C¸gªí¨Mµ²ªG¤£¤©³q¹L¡C¦b³õ©e­û98¤H¡AÃÙ¦¨ªÌ33¤H¡A¤Ï¹ïªÌ60¤H¡A±óÅvªÌ5¤H¡A¤Ö¼Æ¤£³q¹L¡F¨Ã±Ä°O¦Wªí¨M¤è¦¡¡Aªí¨Mµ²ªG¦W³æªþ«á",¥[±j³¥¥Í°Êª««OÅ@¡B­ì¦í¥Á¥i¥HÂy±þ³¥¥Í°Êª«,09-02-YS-13-022,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,,,,9,2,13,0,22,Not Passed,#NULL!,1
"(¤Q¤T)°ê¥ÁÄÒÄÒ¹Î´£Ä³¼W¦C°Q½×¨Æ¶µ²Ä¤K®×¬°¡G
¥»°|¤º¬F©e­û·|³ø§i¨Ö®×¼f¬d¦æ¬F°|¨ç½Ð¼fÄ³¡u¶°·|¹C¦æªk­×¥¿¯ó®×¡v¡B©e­û¾GÄR§gµ¥35¤HÀÀ¨ã¡u¶°·|¹C¦æªk­×¥¿¯ó®×¡v¡B©e­û³¯«F¦mµ¥23¤H¡B©e­ûÄ¬ªvªâµ¥18¤H¤À§OÀÀ¨ã¡u¶°·|¹C¦æªk³¡¤À±ø¤å­×¥¿¯ó®×¡v¡B©e­ûªL²Qªâµ¥20¤H¡B©e­û³¯©ú¤åµ¥21¤H¤À§OÀÀ¼o¤î¡u¶°·|¹C¦æªk¡v®×¡C¸gªí¨Mµ²ªG¤£¤©³q¹L¡C¦b³õ©e­û102¤H¡AÃÙ¦¨ªÌ39¤H¡A¤Ï¹ïªÌ63¤H¡A¤Ö¼Æ¤£³q¹L¡F¨Ã±Ä°O¦Wªí¨M¤è¦¡¡Aªí¨Mµ²ªG¦W³æªþ«á",PRO©ñ¼e¶°·|¹C¦æ,09-02-YS-13-021,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,,"d2a,d2b",,9,2,13,0,21,Not Passed,1,1
"(¤Q¤G)°ê¥ÁÄÒÄÒ¹Î´£Ä³¼W¦C°Q½×¨Æ¶µ²Ä¤C®×¬°¡G
¥»°|¤º¬F©e­û·|³ø§i¨Ö®×¼f¬d©e­û¤Õ¤å¦Nµ¥21¤HÀÀ¨ã¡u¤Ï±Ú¸sª[µøªk¯ó®×¡v¡B°ê¥ÁÄÒÄÒ¹ÎÀÀ¨ã¡u¤Ï±Ú¸sª[µøªk¯ó®×¡v¡B©e­û§d§Ó´­µ¥17¤HÀÀ¨ã¡u±Ú¸s¥­µ¥ªk¯ó®×¡v¡B©e­û³¯¶W©úµ¥16¤HÀÀ¨ã¡u¤Ï±Ú¸sª[µøªk¯ó®×¡v¡B©e­û§õ«Û¨qµ¥18¤HÀÀ¨ã¡u¤Ï±Ú¸sª[µøªk¯ó®×¡v¤Î¿Ë¥ÁÄÒÄÒ¹ÎÀÀ¨ã¡u±Ú¸s¥­µ¥ªk¯ó®×¡v®×¡C¸gªí¨Mµ²ªG¤£¤©³q¹L¡C¦b³õ©e­û103¤H¡AÃÙ¦¨ªÌ38¤H¡A¤Ï¹ïªÌ61¤H¡A±óÅvªÌ4¤H¡A¤Ö¼Æ¤£³q¹L¡F¨Ã±Ä°O¦Wªí¨M¤è¦¡¡Aªí¨Mµ²ªG¦W³æªþ«á",PRO¤Ïª[µø,09-02-YS-13-020,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,,d7k(part),,9,2,13,0,20,Not Passed,1,1
"(¤Q¤@)°ê¥ÁÄÒÄÒ¹Î´£Ä³¼W¦C°Q½×¨Æ¶µ²Ä¤»®×¬°¡G
¥»°|¤º¬F©e­û·|³ø§i¨Ö®×¼f¬d¦æ¬F°|¨ç½Ð¼fÄ³¡u»OÆW¦a°Ï»P¤j³°¦a°Ï¤H¥ÁÃö«Y±ø¨Ò²Ä¤Q¤C±ø±ø¤å­×¥¿¯ó®×¡v¤G®×¤Î©e­û¤×¬ü¤kµ¥31¤HÀÀ¨ã¡u»OÆW¦a°Ï»P¤j³°¦a°Ï¤H¥ÁÃö«Y±ø¨Ò²Ä¤Q¤C±ø±ø¤å­×¥¿¯ó®×¡v®×¡C¸gªí¨Mµ²ªG¤£¤©³q¹L¡C¦b³õ©e­û103¤H¡AÃÙ¦¨ªÌ37¤H¡A¤Ï¹ïªÌ62¤H¡A±óÅvªÌ4¤H¡A¤Ö¼Æ¤£³q¹L¡F¨Ã±Ä°O¦Wªí¨M¤è¦¡¡Aªí¨Mµ²ªG¦W³æªþ«á",PRO«O»ÙÃø¥Á¡B¤j³°°t°¸,09-02-YS-13-019,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,,f3,,9,2,13,0,19,Not Passed,1,NA
